trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
108,66,5,62,14.35,-3.9,373.65,-107.77,229,306,117,308,4,1,100,-15.2044294392139,-180,0
10123,66,5,64,15.83,-2.5,405.55,-75.76,211,308,139,315,4,1,200,-8.97448523816473,-180,0
10173,66,5,66,15.71,-5.05,403.1,-146.2,213,290,121,307,4,1,100,-17.8200694675384,-180,0
10207,66,5,64,15.17,-3.39,391.62,-99.21,259,332,160,358,4,1,500,-12.5967742010118,-180,0
13,66,6,98,12.37,-28.05,200.76,-1212.73,245,348,152,374,4,1,100,-66.202606213774,135,-45
67,66,6,72,-33.97,34.3,-870.94,851.56,221,149,121,152,1,4,500,134.723048777181,135,-45
104,66,6,54,1.9,-5.22,49.23,-139.8,13,523,144,536,1,4,100,-69.9992694308204,135,-45
10147,66,6,64,14.21,-17.76,366.78,-473.27,253,357,132,1037,4,1024,100,-51.3362576770124,135,-45
10175,66,6,66,14.3,-25.51,364.89,-664.45,263,325,146,350,4,1,300,-60.7265582575748,135,-45
10205,66,6,66,11.21,-19.76,279.2,-516.36,353,407,154,416,4,1,200,-60.4334244952229,135,-45
21,66,7,66,0.78,16.37,8.85,416.69,263,359,160,386,4,1,0,87.2720260898407,90,-90
77,66,7,64,0.11,15.97,-8.9,422.54,201,312,161,334,4,1,300,89.6053577909771,90,-90
103,66,7,64,2.45,15.42,54.92,409.85,295,367,167,393,1,4,100,80.9720483396714,90,-90
10134,66,7,64,-1.3,13.08,-36.01,342.39,213,297,129,305,4,1,0,95.6758947135732,90,-90
10193,66,7,66,1.33,11.64,31.12,283.04,211,313,154,326,4,1,200,83.481586496538,90,-90
10223,66,7,68,1.42,18.94,27.43,486.1,265,334,163,342,4,1,200,85.7123507737589,90,-90
8,66,8,70,14.05,17.84,344.58,447.76,259,308,114,313,4,1,200,51.7775856923079,45,-135
68,66,8,78,18.24,18.16,459.09,433.05,395,273,118,289,1,4,300,44.8740754126137,45,-135
107,66,8,90,18.04,17.55,467.9,389.53,371,328,137,396,1,4,100,44.2112065680044,45,-135
10132,66,8,74,16.51,16.09,419.99,380.66,287,311,108,327,1,4,100,44.2618743524164,45,-135
10170,66,8,70,17.04,16.59,425.14,413.92,365,191,165,295,1,4,500,44.2333760887444,45,-135
10232,66,8,106,18.71,14.97,471.07,321.35,293,318,131,322,4,1,100,38.6635425811077,45,-135
trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
7,66,1,70,13.93,2.7,352.97,61.01,319,341,159,376,4,1,0,10.9694086991918,-0,-180
45,66,1,66,14.02,0.98,348.16,18.71,269,350,144,352,4,1,500,3.99847939478898,-0,-180
96,66,1,74,13.54,1.68,356.31,26.22,79,139,145,167,4,1,100,7.07292929096623,-0,-180
10145,66,1,66,13.84,2.14,366.41,47.75,227,307,127,313,1,4,0,8.78970953501594,-0,-180
10184,66,1,84,15.94,2.66,413.86,40.93,255,312,136,312,1,4,300,9.47397953838625,-0,-180
10237,66,1,64,15,-2.61,386.76,-71.98,239,320,122,329,1,4,200,-9.8706428461378,-0,-180
20262,66,1,74,13.04,1.99,327.76,31.35,239,299,112,314,1,4,500,8.67681293793248,-0,-180
20320,66,1,86,12.63,3.36,352.04,48.83,261,306,132,321,1,4,0,14.8975293929345,-0,-180
20356,66,1,72,14.37,2.97,377.39,57.33,257,298,104,308,1,4,300,11.677502600632,-0,-180
30380,66,1,64,15.63,0.03,402.49,-18.51,271,299,89,302,4,1,300,0.109972570351673,-0,-180
30419,66,1,64,15.65,-1.75,412.69,-67.38,223,301,104,309,4,1,0,-6.38037110784609,-0,-180
30473,66,1,64,14.15,-0.49,362.78,-24.23,209,282,123,756,1,32,100,-1.9833016156584,-0,-180
40518,66,1,68,15.77,-2.66,388.94,-84.55,255,284,138,305,1,4,200,-9.57422788509182,-0,-180
40559,66,1,64,15.54,-1.47,399.84,-49.9,223,309,128,313,1,4,500,-5.40379136024971,-0,-180
40592,66,1,74,14,3.29,366.84,58.83,265,318,114,343,1,4,100,13.2245511922135,-0,-180
50616,66,1,66,15.57,-2.82,396.49,-89.14,215,244,137,259,1,4,0,-10.2659821169087,-0,-180
50667,66,1,66,11.23,1.26,290.78,24.67,223,323,130,336,4,1,0,6.40178202558216,-0,-180
50713,66,1,88,12.79,3.33,330.76,43,241,304,138,329,4,1,100,14.593516464284,-0,-180
60745,66,1,68,13.84,2.98,351.17,66.85,223,304,124,306,4,1,300,12.1512896482207,-0,-180
11,66,2,338,-21.72,12.36,-596.19,275.9,69,388,143,418,1,4,500,150.357493423498,-45,135
79,66,2,86,-18.06,13.52,-491.51,288.87,263,322,135,343,1,4,500,143.180896471623,-45,135
101,66,2,84,-19.72,15.76,-547.28,344.26,223,286,116,315,1,4,100,141.368548971762,-45,135
10128,66,2,106,-20.61,14.8,-570.32,318.11,225,282,101,460,1,2,200,144.317947754201,-45,135
10199,66,2,88,-17.36,18.3,-463.23,410.16,215,275,137,326,1,4,200,133.490029067136,-45,135
10239,66,2,74,-20.81,12.87,-544.66,286.91,277,276,150,329,1,4,300,148.265170599848,-45,135
20270,66,2,96,-19.78,17.77,-525.91,386.86,265,299,124,332,1,4,100,138.064040249421,-45,135
20284,66,2,106,-20.49,20.67,-528.2,443.41,221,289,130,336,1,4,500,134.749436963866,-45,135
20338,66,2,98,-18.24,20.26,-497.31,445.9,249,295,114,329,1,4,100,131.996585782817,-45,135
30388,66,2,104,-17.26,15.79,-465.92,329.44,205,285,106,328,1,4,100,137.546726811835,-45,135
30421,66,2,106,-19.75,17.44,-512.03,350.88,205,263,130,305,1,4,500,138.554273558664,-45,135
30453,66,2,98,-19.35,18.7,-521.69,431.97,247,281,109,315,1,4,500,135.978676336918,-45,135
40486,66,2,98,-19.5,17.27,-521.15,350.96,215,270,115,300,1,4,200,138.470581553476,-45,135
40556,66,2,82,-18.26,10.87,-492.88,235.31,301,273,106,303,1,4,100,149.235073960154,-45,135
40565,66,2,80,-20.17,11.99,-536.95,256.66,301,286,146,340,1,4,300,149.270752000003,-45,135
50626,66,2,78,-17.83,11.73,-476.46,268.47,271,282,117,307,1,4,200,146.659882850986,-45,135
50670,66,2,78,-17.56,13.54,-448.85,317.43,329,294,115,313,1,4,0,142.365239315494,-45,135
50700,66,2,0,0,0,0,0,-99999,295,114,337,1,4,500,0,-45,135
60746,66,2,80,-16.86,13.9,-441.48,307.58,331,266,134,308,1,4,400,140.496583621953,-45,135
9,66,3,64,-1.78,-11.84,-65.08,-295.27,245,325,134,338,4,1,200,-98.549695411692,-90,90
64,66,3,62,0.92,-11.65,20.8,-308.88,279,402,132,435,4,1,0,-85.4847253259636,-90,90
117,66,3,60,-1.27,-12.29,-43.13,-332.39,287,369,118,372,1,4,0,-95.8997788041511,-90,90
10121,66,3,60,-2.12,-12.55,-55.78,-336.35,219,321,162,359,1,4,500,-99.5881329399124,-90,90
10183,66,3,70,-0.22,-13.86,-20.7,-326.96,241,321,116,357,4,1,0,-90.9093804491991,-90,90
10238,66,3,62,-0.63,-11.9,-28.01,-307.76,227,294,139,313,1,4,200,-93.0304768458606,-90,90
20277,66,3,64,0.84,-11.78,21.8,-296.68,189,270,121,280,1,4,400,-85.9212963208015,-90,90
20286,66,3,64,0.09,-11.71,-0.26,-293.92,271,339,128,361,1,4,100,-89.5596482813895,-90,90
